.22-calibre	diam
.22 caliber	diam
.22 calibre	diam
.38-caliber	diam
.38-calibre	diam
.38 caliber	diam
.38 calibre	diam
.45-caliber	diam
.45-calibre	diam
.45 caliber	diam
.45 calibre	diam
a posteriori	synthetical
a posteriori	synthetic
a posteriori	inductive
a priori	deductive
a priori	analytical
a priori	analytic
abasic	disability of walking
abatic	disability of walking
abbatial	monastery
abdominal	body part
abdominovesical	vesica
abdominovesical	body part
aberdonian	urban center
abient	impulse
abiogenetic	organic phenomenon
ablative	oblique case
abnormal	insane
abolitionary	conclusion
abomasal	breadbasket
aboriginal	ethnos
abound	abound in
abridged	short
absolutist	political theory
absolutistic	political theory
absorb	suck in
absorb	draw in
abstemious	strict
abstemious	nonindulgent
abstract	nonrepresentational
abstract	impalpable
abstract	intangible
abundant	rich
abundant	ample
abyssal	Davy Jones
academic	domain
acanthotic	skin condition
acapnial	physiological condition
acapnic	physiological condition
acapnotic	physiological condition
accentual	inflection
accept	take in
accept	take up
accept	take over
acceptable	satisfactory
accessible	convenient
accessional	acquisition
accipitrine	bird genus
accommodate	lodge in
accommodating	kind
accommodating	helpful
accommodating	good-natured
accommodational	adjustment
accommodative	kind
accommodative	helpful
accommodative	good-natured
acculturational	education
acculturative	education
accurate	precise
accurate	exact
accurate	right
accurate	correct
accusative	oblique case
accusatorial	eristic
acentric	body structure
acervate	fruiting body
acetic	carboxylic acid
acetonic	resolvent
acetylenic	aliphatic compound
acetylic	carboxylic acid
achenial	fruit
achlorhydric	acid
achondritic	stone
achondroplastic	hereditary condition
achromatic	colourless
achromatic	colorless
achromatinic	body substance
aciculate	piece
acidimetric	volumetric analysis
acidotic	pathology
acinar	sac
acinar	drupelet
acinic	sac
acinose	sac
acinous	sac
acknowledged	known
acneiform	inflammatory disease
acoustic	natural philosophy
acoustical	natural philosophy
acrocentric	body structure
acrogenic	plant life
acrogenous	plant life
acronymic	descriptor
acronymous	descriptor
act	act upon
act	act up
act	act on
actinic	property
actinometric	mensuration
actinometrical	mensuration
actinomycetal	true bacteria
actinomycetous	true bacteria
actinomycotic	zoonotic disease
active	lively
active	energetic
active	live
actuarial	computer
aculeate	stinger
aculeated	stinger
adactylous	meromelia
adamantine	transparent gem
add	add up
add together	add up
adenocarcinomatous	carcinoma
adenoid	lymphoid tissue
adenoidal	lymphoid tissue
adequate	satisfactory
adient	impulse
adjectival	major form class
adjective	major form class
adjudicative	assessment
adjudicatory	assessment
administrative	body
adnexal	body part
adolescent	time of life
adonic	demigod
adorned	fancy
adorned	clad
adorned	clothed
adrenal	ductless gland
adrenal	urinary organ
adrenergic	pressor
adrenocortical	ductless gland
adroit	artful
advantageous	profitable
advantageous	opportune
advantageous	expedient
advective	temperature change
adventitial	tissue layer
adventuresome	incautious
adventuresome	courageous
adventuresome	brave
adventuresome	bold
adventuristic	rashness
adventurous	incautious
adventurous	courageous
adventurous	brave
adventurous	bold
adverbial	major form class
advisable	wise
advisable	prudent
advised	wise
aecial	fruiting body
aegean	civilisation
aegean	sea
aeolian	atmospheric condition
aeolian	Greek deity
aeonian	geologic time
aeriferous	gas
aerodynamic	mechanics
aerolitic	meteorite
aerological	meteorology
aeromechanic	mechanics
aeromedical	biomedicine
aeronautic	natural philosophy
aeronautical	natural philosophy
aerophilatelic	stamp collection
aeschylean	playwright
aesculapian	Graeco-Roman deity
aesthetic	philosophy
aetiologic	philosophy
aetiologic	cause
aetiological	philosophy
aetiological	cause
afebrile	symptom
affected	touched
affected	stirred
affected	affected
affected	moved
affected	deliberate
affected	studied
affected	emotional
affine	transformation
affirmative	positive
affirmative	favourable
affirmative	favorable
affirmatory	positive
affirmatory	favourable
affirmatory	favorable
affixal	bound form
affixial	bound form
affright	frighten away
affright	frighten off
afghan	Asian nation
afghani	Asian nation
afghanistani	Asian nation
afraid	timid
afraid	fearful
