Word_Idx,Antonym1,Antonym2,Antonym3,Antonym4
21-Jun_1,winter solstice 
a la carte_1,table d'hote 
a posteriori_2,a priori 
a posteriori_3,a priori 
a priori_1,a posteriori 
a priori_3,a posteriori 
abactinal_1,actinal 
abaft_1,fore 
abaxial_1,adaxial 
abaxially_1,adaxially 
abbreviate_1,expand 
abducent_1,adducent 
abduct_2,adduct 
abducting_1,adducent 
abidance_1,noncompliance,nonconformity,
abide by_2,disrespect
abience_1,adience
abient_1,adient
ability_1,inability
ability_2,inability
able_4,unable
ably_1,incompetently
abnormal condition_1,normality
abnormal_1,normal
abnormal_2,normal
abnormalcy_1,normality
abnormality_1,normality
abolish_1,establish
aborad_1,orad
aboral_1,oral
aboriginal_2,nonnative
above_2,below
above_3,below
aboveboard_2,dishonestly
abranchial_1,branchiate
abranchiate_1,branchiate
abranchious_1,branchiate
abridge_1,expand
abridged_1,unabridged
abruptness_3,gradualness
absence_1,presence
absence_2,presence
absent_2,present
absolute_3,relative
absolve_2,blame
absorb_8,emit
absorbable_1,adsorbable
absorbency_1,nonabsorbency
absorbent_1,nonabsorbent
absorptive_1,nonabsorbent
abstain_1,consume
abstainer_1,drinker
abstemious_1,gluttonous
abstinent_2,drinker
abstract_2,concrete
abstractly_1,concretely
abstractness_1,concreteness
abstruseness_1,clarity
abundance_1,scarcity
abundant_1,scarce
abused_1,unabused
ac_2,direct current
acanthopterygian_1,soft-finned fish
acapnia_1,hypercapnia 
acarpellous_1,carpellate 
acarpelous_1,carpellate 
acatalectic_1,catalectic,hypercatalectic
acaudal_1,caudate 
acaudate_1,caudate 
acaulescent_1,caulescent 
accede_1,dissent 
accelerate_1,decelerate 
accelerate_2,decelerate 
acceleration_1,deceleration 
acceleration_2,deceleration 
acceleration_3,deceleration 
accelerator_2,anticatalyst 
accented_1,unstressed 
accented_2,atonic 
accentual_2,quantitative,syllabic
accept_3,refuse 
accept_4,reject 
accept_9,refuse 
acceptability_1,unacceptability 
acceptable_2,unacceptable 
acceptableness_1,unacceptability 
acceptably_1,intolerably,unacceptably
acceptance_6,rejection 
acceptive_2,rejective 
accessibility_1,unapproachability 
accessibility_2,inaccessibility,unavailability
accessible_2,inaccessible 
accidentally_1,deliberately 
accidentally_3,deliberately,intentionally
acclaim_2,boo 
acclivity_1,descent
accommodate_4,disoblige
accommodating_1,unaccommodating
accommodative_1,unaccommodating
accompanied_1,unaccompanied
accord_1,disagreement
accordant_1,discordant
accrual basis_1,cash basis
accuracy_2,inaccuracy
accurate_1,inaccurate
accurately_1,inaccurately
accusatorial_1,inquisitorial
accustomed_2,unaccustomed
acellular_1,cellular
acetify_1,alkalize
acetify_2,sweeten
achiever_1,loser 
achlamydeous_1,chlamydeous 
achondritic_1,chondritic 
achromatic color_1,chromatic color 
achromatic colour_1,chromatic color 
achromatic_1,chromatic 
achromaticity_1,color 
achromatinic_1,chromatinic 
achromatism_1,color 
acidic_2,alkaline,amphoteric
acidify_1,alkalize 
acidify_2,sweeten 
acidity_2,alkalinity 
acid-loving_1,alkaline-loving 
acidulate_1,sweeten 
acknowledge_2,deny 
acknowledged_1,unacknowledged
acquiesce_1,dissent
acquire_7,lose
acquisitive_1,unacquisitive
acquit_1,convict
acquittal_1,conviction
acrocarp_1,pleurocarp
acrocarpous moss_1,pleurocarp
acrocarpous_1,pleurocarpous
acropetal_1,basipetal
acroscopic_1,basiscopic
act_9,refrain
actable_1,unactable
actinal_1,abactinal
actinomorphic_1,zygomorphic
actinomorphous_1,zygomorphic
action_3,inaction,inactiveness,inactivity
activate_2,inactivate,
activation_1,deactivation,
activation_3,inactivation,
activator_1,inhibitor,
active trust_1,passive trust,
active voice_1,passive voice,
active_1,inactive,
active_10,dormant,
active_12,passive,
active_13,inactive,
active_14,quiet,
active_16,passive voice,
active_17,contemplative,
active_2,inactive,
active_3,inactive,
active_4,passive,
active_6,extinct,
active_7,inactive,
active_9,stative,
actively_1,passively,
activeness_1,inaction,inactiveness,inactivity
activeness_2,inactiveness,
activity_1,inactivity,
activity_2,inaction,inactiveness,inactivity
activity_3,inactiveness,
actual sin_1,original sin,
actual_2,de jure,
actual_3,potential,
acute_5,obtuse,
acute_6,chronic,
acutely_2,chronically,
acuteness_3,obtuseness
acyclic_1,cyclic
acyclic_2,cyclic
adaptability_1,unadaptability
adaptable_1,unadaptable
adaptative_1,maladaptive
adaptive_1,maladaptive
adaxial_1,abaxial
adaxially_1,abaxially
add together_1,subtract
add_2,subtract
add_5,take away
addicted_1,unaddicted
addictive_1,nonaddictive
addition_4,subtraction
additive_1,subtractive
additive_2,nonlinear 
addressed_1,unaddressed 
adducent_1,abducent 
adduct_2,abduct 
adducting_1,abducent 
adductive_1,abducent 
adequacy_1,inadequacy 
adequacy_2,inadequacy,insufficiency
adequate_1,inadequate 
adequately_1,inadequately 
adequateness_1,inadequacy 
adhesive_1,nonadhesive 
adiabatic_1,diabatic 
adience_1,abience 
adient_1,abient 
adjective_2,substantive 
adjust_2,skew
adjusted_2,unadjusted
adjusted_4,maladjusted
admire_2,look down on
admissibility_1,inadmissibility
admissible_1,inadmissible
admit_3,deny
admit_5,reject
admit_6,exclude
adnate_1,connate
adoptable_1,unadoptable
adopted_1,native
adoptive_1,native
adoptive_2,biological
adorned_2,unadorned
adroit_1,maladroit
adroitly_1,maladroitly 
adscript_2,subscript,superscript
adsorbable_1,absorbable 
adsorbate_1,absorbable 
adsorbent_1,nonadsorbent 
adsorptive_1,nonadsorbent 
adult female_1,man 
adult male_1,woman 
adult_3,juvenile 
adulterant_1,purifying 
adulterating_1,purifying 
advance_11,back 
advance_12,fall back 
advance_15,recede 
advance_16,regress 
advance_18,demote 
advancing_2,retreating,
advantage_2,penalty,
advantage_3,disadvantage,
advantage_4,disadvantage,
advantageous_2,disadvantageous,
advantageously_1,badly,disadvantageously 
advantageousness_1,unfavorableness,
adventuresome_1,unadventurous,
adventurous_1,unadventurous,
adversary_1,agonist,
advertently_1,inadvertently,unmindfully 
advisability_1,inadvisability,
advisable_1,inadvisable,
advised_2,ill-advised,
advisedly_1,accidentally,accidentally,unintentionally
adynamic_2,dynamic,
aerobic_1,anaerobic 
aerobic_2,anaerobic 
